planet_id,target_id,kepler_object_Name,planet_name,planet_status,preliminary_status,confidence_score,flag_not_transit_like,flag_stellar_Eclipse,flag_centroid_offset,flag_Ephemeris_match,orbital_period_days,orbital_period_upper_err1,orbital_period_lower_err2,tansit_Epoch_time,transit_time_upper_err1,transit_time_lower_err2,impact_parameter,impact_upper_err1,impact_lower_err2,transit_duration_hours,transit_duration_upper_err1,transit_duration_lower_err2,transit_depth_ppm,transit_depth_upper_err1,transit_depth_lower_err2,planet_size_earths,planet_size_earths_err1,planet_size_earths_err2,planet_temperature_k_elvin,planet_temperature_k_elvin_err1,planet_temperature_k_elvin_err2,insolation_flux_earths,insolation_upper_err1,insolation_lower_err2,signal _to_noise_ratio,TEC_planet_number,tce_delivery_name,star_temperature_kelvi n,star_temperature_kelvi n_err1,star_temperature_kelvi n_err2,star_gravity_logg,star_gravity_upper_err1,star_gravity_lower_err2,star_size_suns,star_size_upper_err1,star_size_lower_err2,sky_right_ascension,sky_declination,kepler_magnitude_brightness
5906,6368905,K05276.01,,CANDIDATE,CANDIDATE,0.193,0,0,0,0,koi_period,6.18E-03,-6.18E-03,303.8527,1.90E-02,-1.90E-02,0.113,0.331,-0.113,8.186,0.583,-0.583,8.63E+02,8.66E+01,-8.66E+01,2,2.80E-01,-1.60E-01,235,,,0.72,0.35,-0.2,12,1,q1_q17_dr25_tce,5150,184,-184,4.634,0.033,-0.077,0.696,0.097,-0.057,293.36475,41.788891,15.827
5912,5353137,K03447.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,koi_period,5.51E-04,-5.51E-04,159.1203,1.74E-02,-1.74E-02,0.774,0.018,-0.5598,7.362,0.443,-0.443,3.31E+02,2.55E+01,-2.55E+01,0.74,1.10E-01,-1.40E-01,253,,,0.97,0.44,-0.39,15.4,1,q1_q16_tce,3554,68,-82,4.888,0.08,-0.08,0.37,0.06,-0.07,288.89194,40.563141,15.327
5948,4147171,K05042.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.70E-02,-2.70E-02,232.5637,4.90E-02,-4.90E-02,0.0671,0.3772,-0.067,19.26,1.8,-1.8,5.46E+02,7.98E+01,-7.98E+01,2.37,9.90E-01,-2.20E-01,237,,,0.74,0.91,-0.21,7,1,q1_q16_tce,6148,159,-212,4.461,0.047,-0.289,1.015,0.421,-0.096,288.78134,39.28825,15.674
5953,5439000,K05165.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.03E-02,-2.03E-02,246.29,4.04E-02,-4.04E-02,0.1236,0.3231,-0.1235,14.27,3.9,-3.9,2.75E+02,8.13E+01,-8.13E+01,1.66,7.40E-01,-1.50E-01,274,,,1.34,1.74,-0.37,9.6,1,q1_q16_tce,6283,161,-195,4.453,0.052,-0.302,0.999,0.441,-0.095,288.85123,40.692589,13.976
5955,5440472,K05167.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,7.32E-03,-7.32E-03,272.6416,1.42E-02,-1.42E-02,0.0384,0.5094,-0.0383,2.685,0.604,-0.604,4.13E+02,9.96E+01,-9.96E+01,2.39,1.30E+00,-2.70E-01,293,,,1.73,2.89,-0.55,5.7,1,q1_q16_tce,6495,188,-233,4.379,0.064,-0.309,1.168,0.634,-0.133,289.33835,40.62534,14.795
5957,5446961,K05170.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.29E-03,-2.29E-03,196.8608,1.26E-02,-1.26E-02,0.4364,0.0323,-0.4363,3.033,0.41,-0.41,7.53E+02,1.33E+02,-1.33E+02,1.69,9.00E-02,-2.00E-01,202,,,0.39,0.11,-0.13,7.6,1,q1_q16_tce,3978,134,-157,4.642,0.067,-0.023,0.628,0.033,-0.074,291.36411,40.626881,15.345
5961,6517200,K05290.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,3.90E-02,-3.90E-02,267.6857,7.27E-02,-7.27E-02,0.1452,0.2898,-0.1451,34.16,2.1,-2.1,5.54E+02,6.59E+01,-6.59E+01,2.06,7.20E-01,-1.50E-01,225,,,0.61,0.63,-0.15,8.2,1,q1_q16_tce,5750,161,-164,4.538,0.027,-0.258,0.882,0.308,-0.066,290.20068,41.946289,15.667
5965,6525398,K05294.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.75E-02,-2.75E-02,265.201,4.94E-02,-4.94E-02,0.1903,0.2977,-0.1901,5.13,1.3,-1.3,1.50E+03,3.56E+02,-3.56E+02,2.49,2.10E-01,-2.30E-01,196,,,0.35,0.12,-0.09,6.1,1,q1_q16_tce,4514,148,-136,4.621,0.041,-0.035,0.664,0.057,-0.059,292.79022,41.948639,15.884
5985,5529385,K05176.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,5.77E-03,-5.77E-03,294.363,1.09E-02,-1.09E-02,0.4046,0.1079,-0.4046,1.915,0.425,-0.425,2.08E+02,4.83E+01,-4.83E+01,1.26,5.50E-01,-1.50E-01,292,,,1.72,2.27,-0.49,7.3,1,q1_q16_tce,5790,164,-135,4.479,0.083,-0.284,0.856,0.379,-0.097,290.43491,40.777241,13.372
5991,6548429,K05299.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,4.34E-03,-4.34E-03,243.576,1.68E-02,-1.68E-02,0.2091,0.3153,-0.2089,3.578,0.887,-0.887,5.19E+02,1.45E+02,-1.45E+02,2.04,7.00E-01,-1.60E-01,293,,,1.75,1.77,-0.43,6.5,1,q1_q16_tce,5838,166,-176,4.529,0.029,-0.254,0.897,0.308,-0.069,298.53922,41.986961,15.106
5994,6608090,K05303.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,3.03E-02,-3.03E-02,307.9493,2.67E-02,-2.67E-02,0.108,0.3367,-0.1079,6.75,1,-1,3.33E+02,5.54E+01,-5.54E+01,1.36,3.40E-01,-1.30E-01,202,,,0.39,0.31,-0.1,9.2,1,q1_q16_tce,5324,173,-137,4.551,0.057,-0.153,0.755,0.189,-0.071,292.41116,42.039478,13.589
6008,4449752,K05060.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,9.35E-03,-9.35E-03,283.0998,1.93E-02,-1.93E-02,0.0916,0.3601,-0.0916,12.85,1.3,-1.3,2.13E+02,2.13E+01,-2.13E+01,1.11,3.70E-01,-9.00E-02,235,,,0.72,0.73,-0.18,11.9,1,q1_q16_tce,5392,170,-138,4.557,0.044,-0.191,0.775,0.258,-0.067,286.85861,39.592579,13.064
6014,5623137,K05185.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,6.14E-02,-6.14E-02,354.2265,6.12E-02,-6.12E-02,0.4834,0.0454,-0.4329,13.86,1.8,-1.8,1.96E+02,4.03E+01,-4.03E+01,1.53,5.10E-01,-2.80E-01,266,,,1.18,1.17,-0.48,5.9,1,q1_q16_tce,5953,171,-163,4.314,0.175,-0.223,1.068,0.357,-0.199,292.76889,40.816181,14.44
6017,6612973,K05306.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.93E-02,-1.93E-02,136.3997,2.41E-02,-2.41E-02,0.362,0.1142,-0.362,8.74,1.1,-1.1,1.34E+02,1.73E+01,-1.73E+01,1.69,6.90E-01,-4.80E-01,274,,,1.33,1.65,-0.74,9.2,1,q1_q16_tce,6295,200,-219,4.091,0.282,-0.225,1.435,0.586,-0.406,293.80481,42.026001,12.119
6026,2437653,K04940.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,9.68E-04,-9.68E-04,183.17243,9.71E-03,-9.71E-03,0.2541,0.2141,-0.254,2.657,0.306,-0.306,7.84E+02,1.17E+02,-1.17E+02,1.72,1.40E-01,-1.80E-01,271,,,1.27,0.41,-0.36,8.2,1,q1_q16_tce,4386,130,-129,4.629,0.057,-0.027,0.63,0.052,-0.064,290.24103,37.785221,15.16
6034,4478142,K05067.01,,CANDIDATE,CANDIDATE,0.898,0,0,0,0,koi_period,6.70E-03,-6.70E-03,329.3836,2.26E-02,-2.26E-02,0.307,0.157,-0.307,4.818,0.873,-0.873,6.41E+02,1.18E+02,-1.18E+02,2.3,2.90E-01,-1.40E-01,279,,,1.43,0.49,-0.23,7.1,1,q1_q17_dr25_tce,5557,75,-83,4.5,0.038,-0.113,0.912,0.116,-0.053,295.1868,39.575691,14.254
6035,4484179,K05068.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,1.48E-02,-1.48E-02,440.5319,2.37E-02,-2.37E-02,0.0118,0.4231,-0.0116,19.417,0.611,-0.611,2.19E+02,1.75E+01,-1.75E+01,1.57,5.20E-01,-2.30E-01,290,,,1.68,1.62,-0.6,15.1,1,q1_q16_tce,6440,171,-194,4.355,0.126,-0.236,1.053,0.347,-0.156,296.4227,39.579391,13.086
6038,5650930,K05188.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,6.77E-03,-6.77E-03,312.331,1.01E-02,-1.01E-02,0.054,0.3858,-0.0539,3.565,0.273,-0.273,2.94E+02,3.89E+01,-3.89E+01,2.09,9.60E-01,-3.30E-01,290,,,1.67,2.26,-0.62,8,1,q1_q16_tce,6478,158,-199,4.29,0.128,-0.267,1.209,0.557,-0.189,299.28336,40.834389,12.376
6046,6864891,K05330.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,1,koi_period,9.92E-04,-9.92E-04,163.3624,1.91E-02,-1.91E-02,0.016,0.442,-0.016,5.472,0.494,-0.494,3.96E+02,4.60E+01,-4.60E+01,0.92,6.00E-02,-7.00E-02,265,,,1.17,0.23,-0.23,10,1,q1_q17_dr25_tce,3746,59,-59,4.775,0.042,-0.025,0.469,0.028,-0.035,292.36017,42.38184,15.943
6069,5780194,K05198.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.93E-03,-2.93E-03,168.1563,1.64E-02,-1.64E-02,0.0847,0.3941,-0.0847,2.503,0.616,-0.616,7.72E+02,1.62E+02,-1.62E+02,2.22,6.90E-01,-1.70E-01,299,,,1.89,1.74,-0.44,6.9,1,q1_q16_tce,5492,165,-142,4.576,0.027,-0.202,0.812,0.249,-0.062,288.32599,41.027618,15.683
6070,5781991,K05199.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.70E-02,-1.70E-02,449.5543,1.41E-02,-1.41E-02,0.0768,0.3686,-0.0768,3.809,0.669,-0.669,4.87E+02,7.79E+01,-7.79E+01,1.99,8.20E-01,-2.20E-01,224,,,0.59,0.73,-0.17,6.9,1,q1_q16_tce,5796,162,-148,4.466,0.075,-0.273,0.906,0.371,-0.1,288.9754,41.082241,14.768
6071,5784803,K05200.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,1.45E-02,-1.45E-02,309.1578,2.53E-02,-2.53E-02,0.1056,0.356,-0.1056,12.999,0.828,-0.828,2.16E+02,2.86E+01,-2.86E+01,1.42,5.40E-01,-1.90E-01,249,,,0.9,1.02,-0.29,9.7,1,q1_q16_tce,5523,159,-134,4.395,0.121,-0.248,0.981,0.372,-0.134,289.88107,41.069221,14.161
6079,6718474,K05319.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,3.24E-02,-3.24E-02,199.918,4.14E-02,-4.14E-02,0.2858,0.1789,-0.2857,7.55,1.4,-1.4,1.26E+02,2.71E+01,-2.71E+01,1.62,9.40E-01,-3.00E-01,291,,,1.7,2.97,-0.71,6.9,1,q1_q16_tce,6782,159,-236,4.243,0.112,-0.329,1.417,0.828,-0.256,298.34109,42.114891,12.773
6081,2833632,K04954.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,koi_period,2.19E-03,-2.19E-03,325.21488,7.13E-03,-7.13E-03,0.0404,0.4347,-0.0404,1.742,0.303,-0.303,3.62E+02,7.21E+01,-7.21E+01,1.88,7.40E-01,-2.00E-01,300,,,1.92,2.23,-0.55,5.6,1,q1_q16_tce,5962,154,-175,4.445,0.063,-0.276,0.989,0.391,-0.104,286.31915,38.086399,13.586
6094,5793275,K05202.01,,CANDIDATE,CANDIDATE,,0,0,0,0,koi_period,2.77E-02,-2.77E-02,135.5316,3.22E-02,-3.22E-02,0.5968,0.0024,-0.4999,11.85,1.3,-1.3,3.37E+02,4.74E+01,-4.74E+01,1.83,7.80E-01,-1.60E-01,227,,,0.63,0.78,-0.17,8.8,1,q1_q17_dr24_tce,6014,157,-190,4.494,0.042,-0.301,0.958,0.406,-0.084,292.55951,41.090012,14.679
